策略类型,核心因子,投资逻辑,代表指数,代表ETF,适合市场环境,主要风险,境内发展成熟度,备注
红利,股息率、连续分红、股利支付率、流动性,通过高股息和稳定分红获取防御型收益，兼具低估值和现金回报属性,上证红利指数；中证红利指数；深证红利指数,510880 华泰柏瑞上证红利ETF；515080 招商中证红利ETF；159905 工银深证红利ETF,低利率、震荡市、弱市防御、长期现金流配置,红利陷阱、行业集中、周期行业占比高、分红持续性下降,成熟度高,当前境内策略 ETF 最成熟主线之一，产品数量、规模和投资者认知度较高
红利低波,股息率、低波动、连续分红、股利支付率,在红利策略基础上加入低波动筛选，追求股息收益和回撤控制,中证红利低波动指数；中证红利低波动100指数；中证A500红利低波动指数,512890 华泰柏瑞中证红利低波动ETF；515100 景顺长城中证红利低波动100ETF；563510 易方达中证A500红利低波动ETF,弱市、震荡市、低利率环境、防御型配置,牛市弹性不足、低波因子拥挤、行业集中或调样带来风格偏离,成熟度较高,红利策略的重要衍生方向，是“红利+”中最有规模基础的类别
自由现金流,自由现金流率、自由现金流、经营现金流质量、ROE稳定性,关注企业真实现金创造能力，弱化会计利润噪音,国证自由现金流指数；中证全指自由现金流指数,159201 华夏国证自由现金流ETF；159222 易方达国证自由现金流ETF；159233 平安中证全指自由现金流ETF,重视盈利质量、现金回报和企业经营韧性的市场环境,策略认知仍在建立、行业剔除带来偏离、周期行业现金流波动,快速发展,近年增长较快，是红利之后较值得重点关注的新兴策略方向
红利质量,分红稳定性、股息率、ROE、盈利质量、毛利率、现金流质量,在红利基础上加入质量约束，试图规避单纯高股息带来的红利陷阱,中证红利质量指数；中证全指红利质量指数,159758 华夏中证红利质量ETF；159209 招商中证全指红利质量ETF,震荡市、红利行情升级、投资者希望兼顾分红和基本面质量时,因子叠加后逻辑复杂，可能牺牲部分股息率，规模和认知仍需培育,新兴复合策略,建议作为“红利+质量”单列，而不是简单放入纯质量类
质量,ROE、ROA、盈利稳定性、低杠杆、现金流质量、毛利率,选择盈利能力强、财务稳健、经营质量较高的公司,沪深300质量指数；中证质量指数等,当前产品池未系统纳入纯质量ETF，后续需补充,长期配置、盈利分化、好公司占优阶段,估值偏高、成长风格回撤、质量因子阶段性失效,已有布局但当前表需补充,当前产品池主要覆盖“红利质量”，纯质量 ETF 后续应通过 Wind / Choice 补齐
价值,低估值、PE、PB、股息率、自由现金流率、盈利约束,买入低估值且具备一定盈利质量的公司，等待估值修复,中证国信价值指数；国证价值100指数,512040 富国中证价值ETF；159263 易方达国证价值100ETF,经济修复、低估值风格占优、风险偏好修复阶段,价值陷阱、长期低估、周期行业拖累,中等,价值类已有产品布局，但规模和市场认知通常弱于红利类
成长,营收增长、净利润增长、成长因子、动量因子,选择收入和利润增长较快、景气度较高的公司,创业板动量成长指数；深证成长40指数；上证科创板成长指数,159967 华夏创业板动量成长ETF；159906 大成深证成长40ETF；588020 易方达上证科创板成长ETF,景气上行、风险偏好提升、科技成长行情,高估值、高波动、回撤较大、主题属性与策略属性容易混淆,中等,成长策略常和创业板、科创板等板块结合，需要区分“策略因子”和“主题暴露”
低波,历史波动率、波动率倒数、行业中性约束,降低组合波动和回撤，同时通过行业中性减少行业偏离,沪深300行业中性低波动指数；中证500行业中性低波动指数,512270 华安沪深300行业中性低波ETF；512260 华安中证500行业中性低波ETF,弱市、震荡市、机构稳健配置需求,牛市跑输、低波拥挤、行业约束导致收益弹性不足,小众但规则清晰,低波策略逻辑清楚，但境内产品规模和热度相对有限
基本面策略,营业收入、现金流、净资产、分红、基本面价值,用企业基本面经济规模替代市值作为权重依据，弱化价格波动影响,中证锐联基本面50指数；深证基本面120指数,512750 嘉实基本面50ETF；159910 嘉实深证基本面120ETF,市值加权失真、价值风格占优、投资者关注企业基本面权重时,偏传统行业，策略认知度有限，可能长期跑输成长风格,经典但热度一般,属于另类加权 / 基本面加权方向，适合和海外 Fundamental ETF 对比
指数增强/多因子,多因子Alpha、量化选股、组合优化、跟踪误差控制,锚定宽基指数，在控制跟踪误差下追求超额收益,中证800增强；中证A500增强策略,159517 银华中证800增强ETF；512370 华夏中证A500增强策略ETF,宽基配置基础上希望获取一定超额收益时,模型失效、跟踪误差、主动管理边界不清,单列观察,指数增强 ETF 不等同于纯 Smart Beta ETF，建议单列，不混入主线
央国企红利/股东回报,央企/国企属性、分红、回购、股息率、股东回报,结合央国企主题和红利/股东回报策略，体现中国特色估值重估逻辑,中证国新央企股东回报指数；中证中央企业红利指数,561960 招商中证国新央企股东回报ETF；561580 华泰柏瑞中证中央企业红利ETF,国企改革、中特估、红利行情、政策支持阶段,主题属性较强、行业集中、政策预期波动,补充观察,可作为红利策略的中国特色延伸，是否纳入主线需和 mentor 确认
ESG,ESG评分、可持续发展评分、负面剔除、治理质量,通过环境、社会、治理或可持续发展评价筛选公司,中证诚通央企ESG指数；中证可持续发展100指数,560810 融通中证诚通央企ESGETF；515090 博时中证可持续发展100ETF,长期资金、机构配置、ESG主题需求提升阶段,国内投资者认知有限，评分体系差异，策略收益解释难度较高,补充观察,ESG 可作为扩展方向，暂不作为今天主线
港股通红利/低波,港股通范围、高股息、低波动、央企红利,在港股通资产中寻找高股息和低波动机会,标普港股通低波红利指数；港股通央企红利相关指数,159118 华夏标普港股通低波红利ETF,港股低估值、高股息、南向资金配置阶段,港股市场波动、汇率影响、流动性和行业集中,跨境补充,在境内上市但底层为港股通资产，不建议混入 A 股主线
等权/另类加权,等权、风险权重、基本面权重、非市值加权,通过改变传统市值加权方式，减少大市值股票权重过高的问题,沪深300等权；中证500等权等,当前产品池未系统纳入，后续需补充,市值权重失衡、风格轮动、小盘或均衡配置占优时,换手较高、流动性压力、可能偏离主流宽基表现,待补充,研报 117 只口径通常会纳入等权和另类加权，后续应通过 Wind / Choice 补齐
动量,价格动量、趋势延续、相对强弱,捕捉强势股票的趋势延续效应,沪深300动量；中证500动量等,当前产品池未系统纳入纯动量ETF，159967 含成长+动量属性,趋势行情、风险偏好提升、强者恒强阶段,反转行情回撤大、换手较高、因子拥挤,待补充,当前成长类中已有动量成长产品，但纯动量 ETF 后续仍需补充
