统计类型,统计项目,数量,占代表产品比
汇总,Step7代表产品总数,27,1.0
按策略类型,成长,3,0.1111111111111111
按策略类型,红利,3,0.1111111111111111
按策略类型,红利低波,3,0.1111111111111111
按策略类型,自由现金流,3,0.1111111111111111
按策略类型,ESG,2,0.07407407407407407
按策略类型,价值,2,0.07407407407407407
按策略类型,低波,2,0.07407407407407407
按策略类型,基本面策略,2,0.07407407407407407
按策略类型,央国企红利/股东回报,2,0.07407407407407407
按策略类型,指数增强/多因子,2,0.07407407407407407
按策略类型,红利质量,2,0.07407407407407407
按策略类型,港股通红利/低波,1,0.037037037037037035
按建议纳入级别,主线,20,0.7407407407407407
按建议纳入级别,补充观察,4,0.14814814814814814
按建议纳入级别,单列观察,2,0.07407407407407407
按建议纳入级别,跨境补充,1,0.037037037037037035
按建议纳入级别,仅作线索,0,0.0
按Step7代表产品级别,核心代表,12,0.4444444444444444
按Step7代表产品级别,补充观察代表,4,0.14814814814814814
按Step7代表产品级别,单列观察代表,2,0.07407407407407407
按Step7代表产品级别,扩展代表,2,0.07407407407407407
按Step7代表产品级别,指数体系对比代表,2,0.07407407407407407
按Step7代表产品级别,市值层面对比代表,1,0.037037037037037035
按Step7代表产品级别,新方向代表,1,0.037037037037037035
按Step7代表产品级别,新经济成长代表,1,0.037037037037037035
按Step7代表产品级别,经典代表,1,0.037037037037037035
按Step7代表产品级别,跨境补充代表,1,0.037037037037037035
